,Referred_a_Friend,Number_of_Referrals,Tenure_in_Months,Offer,Phone_Service,Avg_Monthly_Long_Distance_Charges,Multiple_Lines,Internet_Service,Internet_Type,Avg_Monthly_GB_Download,Online_Security,Online_Backup,Device_Protection_Plan,Premium_Tech_Support,Streaming_TV,Streaming_Movies,Streaming_Music,Unlimited_Data,Contract,Paperless_Billing,Payment_Method,Monthly_Charge,Total_Regular_Charges,Total_Refunds,Total_Extra_Data_Charges,Total_Long_Distance_Charges,Gender,Age,Married,Number_of_Dependents,Zip_Code,Population,CLTV,Churn_Category,Total_Customer_Svc_Requests,Product/Service_Issues_Reported,Customer_Satisfaction,Churn_Value
112,1,1,32,5.0,1,5.99,1,1,3.0,25,0,0,0,0,0,1,1,0,3,1,1,88.4,2642.05,49.57,661.0,191.68,1,69,1,0,90813,63136,4584,4.0,3,2,1,1
113,1,1,32,5.0,1,49.6,1,1,2.0,11,0,0,0,0,0,1,1,0,3,0,1,88.712,2661.1,0.0,293.0,1587.2,1,76,1,0,91030,23984,2712,1.0,5,2,1,1
114,1,1,57,5.0,0,0.0,0,1,2.0,3,0,0,0,0,1,1,1,0,3,1,1,46.644000000000005,2572.95,12.07,77.0,0.0,1,70,1,0,91202,21990,5172,4.0,7,0,1,1
115,0,0,1,5.0,1,15.28,0,1,2.0,15,0,0,0,0,0,0,0,0,3,0,1,46.904,45.1,0.0,0.0,15.28,1,71,0,0,91204,17015,4499,4.0,9,1,1,1
116,0,0,1,5.0,0,0.0,0,1,3.0,29,0,1,1,0,0,1,0,1,3,1,1,45.032,43.3,0.0,0.0,0.0,1,75,0,0,91335,68018,4972,5.0,1,0,1,1
117,0,0,38,5.0,1,26.1,0,1,2.0,30,1,1,0,0,0,0,0,1,3,1,2,59.436,2250.65,0.0,67.52,991.8,2,67,0,0,91342,81986,3110,4.0,3,1,1,1
118,1,1,35,5.0,1,15.98,1,1,1.0,24,1,1,0,1,1,0,0,0,3,1,1,104.52,3653.35,0.0,877.0,559.3000000000001,2,65,1,0,91502,11517,4745,4.0,6,2,1,1
119,0,0,1,5.0,1,15.24,0,1,3.0,15,0,0,0,0,0,0,0,1,3,0,2,46.904,45.1,0.0,0.0,15.24,2,80,0,0,91606,45358,2740,1.0,5,2,1,1
120,1,1,30,5.0,1,4.65,0,1,1.0,32,0,1,0,0,0,0,0,0,3,1,1,52.416,1527.5,0.0,489.0,139.5,1,71,1,0,91710,75319,4795,4.0,1,0,1,1
121,0,0,5,5.0,1,12.27,0,1,1.0,22,0,0,0,0,0,1,0,0,3,0,1,82.108,378.4,0.0,83.0,61.35,2,70,0,0,91711,34716,4054,4.0,5,0,1,1
122,0,0,1,5.0,1,30.17,1,1,3.0,7,0,0,0,0,1,1,0,0,3,1,1,97.292,93.55,0.0,0.0,30.17,1,73,0,0,92117,51213,5536,1.0,4,1,1,1
123,1,1,58,5.0,1,49.38,1,1,1.0,21,1,1,1,0,1,1,0,0,1,1,1,113.204,6287.25,0.0,1320.0,2864.04,1,78,1,0,92117,51213,4739,1.0,0,0,1,1
124,0,0,16,5.0,1,17.51,1,1,1.0,8,0,0,0,0,1,0,0,0,3,1,1,88.14,1350.15,0.0,108.0,280.16,2,76,0,0,92117,51213,5136,4.0,8,2,1,1
125,0,0,1,5.0,1,22.5,0,1,2.0,30,0,0,0,0,0,0,0,0,3,1,1,72.748,69.95,0.0,0.0,22.5,2,73,0,0,92117,51213,3208,1.0,2,0,1,1
126,1,1,5,5.0,1,47.28,1,1,3.0,12,0,1,0,0,0,0,0,1,3,1,1,84.24000000000001,371.65,40.64,0.0,236.4,2,68,1,0,92122,34902,4287,1.0,4,1,1,1
127,0,0,21,5.0,1,42.27,0,1,2.0,8,0,0,1,0,1,1,0,0,3,1,1,100.672,2030.3,10.2,162.0,887.6700000000001,1,79,0,0,92239,964,4317,2.0,1,1,1,1
128,0,0,43,5.0,1,31.83,0,1,2.0,11,1,1,0,1,1,1,0,0,3,1,2,112.476,4600.7,0.0,506.0,1368.6899999999998,2,67,0,0,92027,48690,2833,1.0,2,0,1,1
129,1,1,32,5.0,1,33.74,1,1,3.0,7,0,0,0,0,1,1,0,0,3,1,1,96.928,2931.0,17.88,205.0,1079.68,2,69,1,0,92028,42239,5247,1.0,5,0,1,1
130,0,0,1,5.0,1,18.2,0,1,2.0,14,0,0,0,0,0,0,0,0,3,1,1,73.372,70.55,0.0,0.0,18.2,2,72,0,0,92397,4253,2146,4.0,4,0,1,1
131,1,1,29,4.636363636363637,1,25.78,1,1,1.0,31,0,0,1,0,1,1,1,0,3,1,1,102.44,3004.15,37.55,931.0,747.62,1,75,1,0,92555,12743,5137,4.0,4,0,1,1
132,1,1,13,4.2727272727272725,1,31.7,1,1,1.0,7,0,0,0,0,1,1,1,0,3,1,1,99.06,1233.65,48.09,86.0,412.1,1,67,1,0,92563,18311,2982,1.0,3,2,1,1
133,1,1,7,3.909090909090909,1,8.92,1,1,3.0,19,0,0,0,0,0,0,0,1,3,1,2,77.376,527.9,32.46,0.0,62.44,1,72,1,0,92567,7344,4969,4.0,5,0,1,1
134,0,0,2,3.5454545454545454,1,21.57,1,1,2.0,31,0,0,1,0,0,1,1,0,3,1,1,92.092,179.25,0.0,56.0,43.14,2,68,0,0,92606,17621,3685,1.0,3,6,1,1
